Industry,Gender,Highest_Level_Of_Education_Completed,Average_Salary
Fundraising,Woman,"Master'S Degree",116813.33
"Funeral Service",Woman,"College Degree",36000.00
"Funeral Service",Woman,"Master'S Degree",42634.00
"Funeral Service",Woman,"Some College",48760.00
"Game Development",Woman,"College Degree",83000.00
"Game Development",Woman,"Master'S Degree",79960.00
"Gaming (Gambling)",Man,"Master'S Degree",72000.00
"Gaming (Gambling)","Other or prefer not to answer","College Degree",140000.00
"Gaming (Gambling)",Woman,"College Degree",67660.00
Geologist,Woman,Phd,181740.00
Geospatial,Man,"Master'S Degree",88007.00
"Global Mobility",Woman,"College Degree",57500.00
"Global Mobility",Woman,"Master'S Degree",140000.00
Government,Woman,"College Degree",83799.20
Government,Woman,"Master'S Degree",90941.04
Government,Woman,"Professional Degree (Md, Jd, Etc.)",250000.00
Government,Woman,"Some College",100400.00
"Government And Public Administration",Man,"College Degree",73040.17
"Government And Public Administration",Man,"High School",85918.33
"Government And Public Administration",Man,"Master'S Degree",89378.32
"Government And Public Administration",Man,Phd,112752.00
"Government And Public Administration",Man,"Professional Degree (Md, Jd, Etc.)",104373.32
"Government And Public Administration",Man,"Some College",60615.01
"Government And Public Administration",Man,Unknown,43750.00
"Government And Public Administration","Other or prefer not to answer","College Degree",56153.46
"Government And Public Administration","Other or prefer not to answer","High School",41250.00
"Government And Public Administration","Other or prefer not to answer","Master'S Degree",68186.40
"Government And Public Administration","Other or prefer not to answer",Phd,106843.80
"Government And Public Administration","Other or prefer not to answer","Professional Degree (Md, Jd, Etc.)",78175.00
"Government And Public Administration","Other or prefer not to answer","Some College",39053.70
"Government And Public Administration",Woman,"College Degree",68153.21
"Government And Public Administration",Woman,"High School",50547.30
"Government And Public Administration",Woman,"Master'S Degree",82371.62
"Government And Public Administration",Woman,Phd,107817.10
"Government And Public Administration",Woman,"Professional Degree (Md, Jd, Etc.)",95353.92
"Government And Public Administration",Woman,"Some College",53170.56
"Government And Public Administration",Woman,Unknown,59970.97
"Graduate Student",Man,"Master'S Degree",2350.00
"Grantwriting Consultants",Woman,"Master'S Degree",94000.00
"Grocery Distribution","Other or prefer not to answer","College Degree",52532.00
"Grocery Distribution",Woman,"College Degree",50000.00
"Grocery Distribution",Woman,"High School",52600.00
"Hardware Manufacturing",Woman,"College Degree",95000.00
"Haz/Ind/Rad Waste Management ",Woman,"College Degree",100000.00
Health,Man,"College Degree",81185.34
Health,Man,"High School",70833.33
Health,Man,"Master'S Degree",89183.68
Health,Man,Phd,171558.33
Health,Man,"Professional Degree (Md, Jd, Etc.)",156754.92
Health,Man,"Some College",84403.26
Health,Man,Unknown,96428.00
Health,"Other or prefer not to answer","College Degree",67937.45
Health,"Other or prefer not to answer","High School",23000.00
Health,"Other or prefer not to answer","Master'S Degree",126491.18
Health,"Other or prefer not to answer",Phd,161000.00
Health,"Other or prefer not to answer","Professional Degree (Md, Jd, Etc.)",127228.57
Health,"Other or prefer not to answer","Some College",51059.20
Health,"Other or prefer not to answer",Unknown,48520.00
Health,Woman,"College Degree",69805.92
Health,Woman,"High School",50926.15
Health,Woman,"Master'S Degree",94365.31
Health,Woman,Phd,120497.58
Health,Woman,"Professional Degree (Md, Jd, Etc.)",153986.04
Health,Woman,"Some College",52772.89
Health,Woman,Unknown,129240.19
Heritage,Woman,"Master'S Degree",33895.43
"Historic Preservation",Woman,"Master'S Degree",75000.00
Horticulture,Woman,"College Degree",37440.00
Horticulture,Woman,"High School",31979.20
"Hospitality & Events",Man,"College Degree",54945.43
"Hospitality & Events",Man,"High School",48545.17
"Hospitality & Events",Man,"Master'S Degree",103750.00
"Hospitality & Events",Man,"Some College",68996.67
"Hospitality & Events","Other or prefer not to answer","College Degree",37465.00
"Hospitality & Events","Other or prefer not to answer","High School",20904.40
"Hospitality & Events","Other or prefer not to answer","Some College",34127.50
"Hospitality & Events",Woman,"College Degree",64727.37
"Hospitality & Events",Woman,"High School",38096.00
"Hospitality & Events",Woman,"Master'S Degree",92409.24
"Hospitality & Events",Woman,Phd,115000.00
