Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
"Principal Security Engineer","21 - 30 years",614000.00
"Account Manager ","11 - 20 years",613650.00
"Sr. Director","11 - 20 years",613000.00
"Software Development Engineer","8 - 10 years",612938.30
"Senior Consultant","21 - 30 years",612500.00
"Compensation Manager","11 - 20 years",611500.00
"Senior Staff Privacy Engineer","8 - 10 years",610000.00
"Consumer Marketing Lead","11 - 20 years",610000.00
"Senior Software Engineer ","8 - 10 years",608000.00
"Software Engineer 2","2 - 4 years",608000.00
"Lead Engineer","11 - 20 years",608000.00
"Senior Manager ","8 - 10 years",607000.00
"Engineering Manager","31 - 40 years",606000.00
"Data Engineer","2 - 4 years",602320.00
Underwriter,"11 - 20 years",601000.00
"Equity Partner","21 - 30 years",600000.00
"Vice President Of Production","31 - 40 years",600000.00
"Product Design Manager","11 - 20 years",600000.00
"Evp Product","11 - 20 years",600000.00
"Director Of Software Engineering","11 - 20 years",599000.00
Coordinator,"11 - 20 years",597450.00
"Principal Data Scientist","11 - 20 years",596500.00
"Systems Engineer","8 - 10 years",596000.00
"Account Manager","2 - 4 years",595650.00
"Senior Financial Analyst","11 - 20 years",595600.00
"Communications Specialist","11 - 20 years",594541.70
"Campaign Manager","8 - 10 years",592000.00
"Software Development Manager","8 - 10 years",592000.00
"Principal Program Manager","11 - 20 years",592000.00
"Principal Product Designer","11 - 20 years",591250.00
"Senior Analyst","2 - 4 years",591052.10
"Senior Director Of Marketing","11 - 20 years",590000.00
Analyst,"21 - 30 years",589000.00
"Program Manager ","11 - 20 years",587093.00
Director,"2 - 4 years",584000.00
"Vp Marketing","21 - 30 years",583000.00
"Senior Security Engineer","11 - 20 years",583000.00
"Director Of Product","11 - 20 years",582950.00
"Director Of Communications","8 - 10 years",581800.00
"Sr. Software Engineer","21 - 30 years",581000.00
"Project Manager","31 - 40 years",579384.00
"Systems Engineer","5-7 years",579014.00
"Research Scientist","8 - 10 years",577736.00
Associate,"1 year or less",577435.00
"Director Of Human Resources","21 - 30 years",575380.00
"Lead Engineer","21 - 30 years",575000.00
"Senior Software Engineer ","21 - 30 years",574422.00
"Business Development Manager","11 - 20 years",573750.00
"Web Developer","21 - 30 years",572425.00
Registrar,"11 - 20 years",571780.00
"Senior Data Scientist","11 - 20 years",570550.00
"Middle School Social Studies Teacher","2 - 4 years",570000.00
"Director Of Development ","11 - 20 years",570000.00
"Analytics Manager","8 - 10 years",567965.00
"Data Science Manager","11 - 20 years",567500.00
"Senior Business Analyst","21 - 30 years",567380.70
"Technical Director","11 - 20 years",566970.00
"Chief Financial Officer","11 - 20 years",566500.00
"Chief Of Staff","8 - 10 years",566400.00
"Systems Analyst","21 - 30 years",565946.40
"Email Marketing Manager","5-7 years",564500.00
"Attorney ","21 - 30 years",564498.00
"Devops Engineer","8 - 10 years",563300.00
Md,"5-7 years",560000.00
"Svp Hr","21 - 30 years",560000.00
"Sr. Manager, Sre","21 - 30 years",560000.00
"Facilities Coordinator ","1 year or less",560000.00
"Teacher ","11 - 20 years",558583.20
"Engineering Director","21 - 30 years",557500.00
"Social Media Manager","11 - 20 years",557240.00
"Senior Customer Success Manager","11 - 20 years",555439.00
"Associate ","1 year or less",555000.00
"Associate Attorney","1 year or less",555000.00
"Senior Manager, Operations","11 - 20 years",554700.00
"Executive Assistant ","8 - 10 years",552250.00
"Director Of Operations ","11 - 20 years",551700.00
"Solutions Architect","8 - 10 years",551600.00
"Privacy Engineer","11 - 20 years",551000.00
Archivist,"11 - 20 years",550971.00
"Sales Manager","8 - 10 years",550819.00
"Senior Policy Analyst","11 - 20 years",550193.00
"Assistant Leader Of Maths","8 - 10 years",550000.00
"Tv Writer","11 - 20 years",550000.00
"Senior Manager Software Dev","21 - 30 years",550000.00
"Senior Software Engineering Manager","21 - 30 years",547500.00
"Software Engineer","31 - 40 years",546540.00
"Lead Software Engineer","5-7 years",546019.00
"Senior Technical Program Manager","31 - 40 years",545000.00
Cfo,"21 - 30 years",544009.00
Professor,"31 - 40 years",543000.00
"Senior Financial Analyst","21 - 30 years",542901.00
Lawyer,"5-7 years",542900.00
"Team Lead","21 - 30 years",542282.00
"Brand Manager","11 - 20 years",541000.00
"General Manager","8 - 10 years",540700.00
"Vp Finance","8 - 10 years",540000.00
"Senior Product Manager","5-7 years",538964.00
"Engagement Manager","8 - 10 years",538600.00
Scientist,"11 - 20 years",536508.00
Developer,"11 - 20 years",534484.50
"Academic Advisor","5-7 years",532750.00
"Software Engineer Ii","8 - 10 years",532100.00
"Senior Business Analyst","11 - 20 years",530575.30
"Finance Director","11 - 20 years",530000.00
"Executive Director","5-7 years",529651.00
"Content Manager","5-7 years",529642.00
"Associate Attorney ","8 - 10 years",527500.00
"It Manager","8 - 10 years",527445.00
"Financial Analyst","8 - 10 years",527251.00
"Manager, Information Security","8 - 10 years",526500.00
"Vp ","11 - 20 years",525000.00
"Assistant General Counsel","11 - 20 years",525000.00
"Human Resources Business Partner","11 - 20 years",524569.00
"Sr. Product Manager","11 - 20 years",524000.00
"Assistant Vice President","11 - 20 years",523000.00
"Program Manager","31 - 40 years",522700.00
"Attorney Advisor","11 - 20 years",520268.00
"Chief Technology Officer","21 - 30 years",520000.00
Lawyer,"11 - 20 years",519000.00
"Director Of Research","11 - 20 years",519000.00
"Customer Success Manager","2 - 4 years",518884.00
"Social Media Manager","8 - 10 years",518000.00
"Counsel ","11 - 20 years",517500.00
